Month/year,Newfoundland and Labrador N,Prince Edward Island N,Nova Scotia N,New Brunswick N,Quebec N,Ontario N,Manitoba N,Saskatchewan N,Alberta N,British Columbia N,Yukon N,Northwest Territories N,Nunavut N
September 2024,20,n/r,6,51,15,1432,86,140,486,199,8,n/r,23
August 2024,26,15,32,70,51,1519,130,137,538,438,7,5,32
July 2024,19,27,45,91,156,1459,134,166,546,593,6,0,17
June 2024,20,18,46,65,307,1625,133,170,589,596,7,n/r,13
May 2024,38,26,39,78,588,1898,156,190,654,638,n/r,n/r,15
April 2024,50,36,55,77,621,1710,141,166,635,637,n/r,13,19
March 2024,33,23,40,84,649,1669,115,161,604,610,n/r,13,15
February 2024,31,19,45,84,740,1643,136,143,585,656,0,8,13
January 2024,32,29,58,90,640,1613,125,174,573,552,n/r,8,13
December 2023,26,24,39,112,606,1580,135,153,560,582,n/r,10,17
November 2023,36,32,58,95,642,1786,132,175,588,645,8,13,15
October 2023,40,33,60,95,657,1779,128,146,611,608,n/r,20,16
September 2023,26,22,49,78,569,1484,149,139,539,583,8,8,16
August 2023,27,39,52,89,536,1459,112,173,557,604,n/r,8,26
July 2023,39,28,64,90,542,1485,121,159,475,574,10,10,32
June 2023,39,35,42,95,642,1767,149,199,638,693,10,14,29
May 2023,42,50,60,96,698,1866,151,208,652,702,5,18,14
April 2023,31,44,58,98,730,1745,109,175,532,677,7,18,20
March 2023,51,26,66,103,780,1976,144,219,692,709,7,17,18
February 2023,32,33,57,79,667,1615,117,173,526,657,6,15,14
January 2023,46,22,53,84,641,1810,140,203,595,638,n/r,15,17
December 2022,34,29,57,95,729,1794,139,202,574,618,n/r,14,23
November 2022,46,34,53,98,763,1805,112,188,599,682,7,18,13
October 2022,41,35,50,112,769,1646,148,192,619,667,8,18,17
September 2022,50,31,54,70,608,1662,123,198,552,615,12,16,22
August 2022,49,24,45,79,595,1560,129,185,513,660,9,n/r,17
July 2022,43,29,47,83,537,1497,101,188,551,633,n/r,14,21
June 2022,48,46,69,114,738,1820,148,236,646,726,9,13,19
May 2022,53,25,67,116,825,2012,149,220,637,779,7,14,12
April 2022,40,30,70,104,803,1933,158,224,617,743,n/r,15,21
