Month/year,Quebec N,Ontario N,Alberta N,Yukon N
September 2024,2399,4794,1724,52
August 2024,2148,4480,1684,37
July 2024,1982,4350,1637,46
June 2024,2156,4785,1804,55
May 2024,2456,5264,1904,56
April 2024,2609,4993,1751,45
March 2024,2367,4850,1689,36
February 2024,2424,4599,1690,33
January 2024,2322,4582,1680,31
December 2023,2000,4441,1525,31
November 2023,2386,4836,1786,48
October 2023,2594,5185,1749,31
September 2023,2427,4836,1721,44
August 2023,2169,4470,1708,35
July 2023,2052,4647,1607,40
June 2023,2273,5084,1737,49
May 2023,2669,5587,1911,38
April 2023,2583,5313,1950,48
March 2023,2908,5542,1932,30
February 2023,2531,4775,1750,21
January 2023,2594,5302,1807,33
December 2022,2242,4676,1556,20
November 2022,2558,5142,1616,25
October 2022,2878,5447,1921,47
September 2022,2602,5431,1796,57
August 2022,2318,4795,1729,37
July 2022,2198,4773,1722,28
June 2022,2505,5446,1875,49
May 2022,2870,6088,2077,54
April 2022,3082,5676,1874,28
